FILENAME,THREAD_COUNT,NUM_ITER,TRIAL_COUNT,ELAPSED_TIME,VIR_MEM (KB),PHYS_MEM (KB),,,OMP Averages,,
slurm-1422071.out:DATA,4,100000000,1,1425.212,4344,348,,,2,,
slurm-1422072.out:DATA,4,100000000,2,1429.319,4344,348,,,4,,
slurm-1422073.out:DATA,4,100000000,3,1428.261,4344,348,,,8,,
slurm-1422074.out:DATA,4,100000000,4,1427.347,4344,348,,,16,,
slurm-1422075.out:DATA,4,100000000,5,1349.098,4344,348,,,,,
slurm-1422076.out:DATA,4,100000000,6,1425.479,4344,348,,,,,
slurm-1422077.out:DATA,4,100000000,7,1429.775,4344,348,,,,,
slurm-1422078.out:DATA,4,100000000,8,1424.683,4344,348,,,,,
slurm-1422079.out:DATA,4,100000000,9,1430.671,4344,348,,,,,
slurm-1422080.out:DATA,4,100000000,10,1422.791,4344,348,,,,,
slurm-1422081.out:DATA,4,200000000,1,2798.098,4344,348,,,,,
slurm-1422082.out:DATA,4,200000000,2,2847.47,4344,348,,,,,
slurm-1422083.out:DATA,4,200000000,3,2849.992,4344,348,,,,,
slurm-1422084.out:DATA,4,200000000,4,2841.908,4344,348,,,,,
slurm-1422085.out:DATA,4,200000000,5,2850.595,4344,348,,,,,
slurm-1422086.out:DATA,4,200000000,6,2849.238,4344,348,,,,,
slurm-1422087.out:DATA,4,200000000,7,2845.981,4344,348,,,,,
slurm-1422088.out:DATA,4,200000000,8,2846.769,4344,348,,,,,
slurm-1422089.out:DATA,4,200000000,9,2848.847,4344,348,,,,,
slurm-1422090.out:DATA,4,200000000,10,2855.406,4344,348,,,,,
slurm-1422091.out:DATA,4,300000000,1,4210.63,4344,348,,,,,
slurm-1422092.out:DATA,4,300000000,2,4272.512,4344,348,,,,,
slurm-1422093.out:DATA,4,300000000,3,4273.852,4344,348,,,,,
slurm-1422094.out:DATA,4,300000000,4,4267.49,4344,348,,,,,
slurm-1422095.out:DATA,4,300000000,5,4271.765,4344,348,,,,,
slurm-1422096.out:DATA,4,300000000,6,4271.823,4344,348,,,,,
slurm-1422097.out:DATA,4,300000000,7,4272.156,4344,348,,,,,
slurm-1422098.out:DATA,4,300000000,8,4268.221,4344,348,,,,,
slurm-1422099.out:DATA,4,300000000,9,4269.482,4344,348,,,,,
slurm-1422100.out:DATA,4,300000000,10,4268.533,4344,348,,,,,
slurm-1422101.out:DATA,4,400000000,1,5642.27,4344,348,,,,,
slurm-1422102.out:DATA,4,400000000,2,5694.52,4344,348,,,,,
slurm-1422103.out:DATA,4,400000000,3,5694.007,4344,348,,,,,
slurm-1422104.out:DATA,4,400000000,4,5688.245,4344,348,,,,,
slurm-1422105.out:DATA,4,400000000,5,5691.643,4344,348,,,,,
slurm-1422106.out:DATA,4,400000000,6,5693.861,4344,348,,,,,
slurm-1422107.out:DATA,4,400000000,7,5702.062,4344,348,,,,,
slurm-1422108.out:DATA,4,400000000,8,5696.529,4344,348,,,,,
slurm-1422109.out:DATA,4,400000000,9,5694.87,4344,348,,,,,
slurm-1422110.out:DATA,4,400000000,10,5599.782,4344,348,,,,,
slurm-1422111.out:DATA,2,100000000,1,714.219,16904,604,726.3765,,,,
slurm-1422112.out:DATA,2,100000000,2,697.467,16904,604,1496.1289,,,,
slurm-1422113.out:DATA,2,100000000,3,737.794,16904,604,2197.0811,,,,
slurm-1422114.out:DATA,2,100000000,4,729.159,16904,604,3036.098,,,,
slurm-1422115.out:DATA,2,100000000,5,728.25,16904,604,,,,,
slurm-1422116.out:DATA,2,100000000,6,736.276,16904,604,,,,,
slurm-1422117.out:DATA,2,100000000,7,737.366,16904,604,,,,,
slurm-1422118.out:DATA,2,100000000,8,726.495,16904,668,,,,,
slurm-1422119.out:DATA,2,100000000,9,729.103,16904,604,,,,,
slurm-1422120.out:DATA,2,100000000,10,727.636,16904,604,,,,,
slurm-1422121.out:DATA,2,200000000,1,1458.615,16904,604,,,,,
slurm-1422122.out:DATA,2,200000000,2,1456.531,16904,604,,,,,
slurm-1422123.out:DATA,2,200000000,3,1458.169,16904,604,,,,,
slurm-1422124.out:DATA,2,200000000,4,1458.461,16904,604,,,,,
slurm-1422125.out:DATA,2,200000000,5,1553.477,16904,604,,,,,
slurm-1422126.out:DATA,2,200000000,6,1552.21,16904,604,,,,,
slurm-1422127.out:DATA,2,200000000,7,1518.03,16904,604,,,,,
slurm-1422128.out:DATA,2,200000000,8,1495.866,16904,604,,,,,
slurm-1422129.out:DATA,2,200000000,9,1502.673,16904,604,,,,,
slurm-1422130.out:DATA,2,200000000,10,1507.257,16904,604,,,,,
slurm-1422131.out:DATA,2,300000000,1,2227.668,16904,604,,,,,
slurm-1422132.out:DATA,2,300000000,2,2133.649,16904,604,,,,,
slurm-1422133.out:DATA,2,300000000,3,2137.736,16904,604,,,,,
slurm-1422134.out:DATA,2,300000000,4,2214.282,16904,604,,,,,
slurm-1422135.out:DATA,2,300000000,5,2198.984,16904,604,,,,,
slurm-1422136.out:DATA,2,300000000,6,2187.367,16904,604,,,,,
slurm-1422137.out:DATA,2,300000000,7,2186.313,16904,604,,,,,
slurm-1422138.out:DATA,2,300000000,8,2210.559,16904,604,,,,,
slurm-1422139.out:DATA,2,300000000,9,2214.145,16904,604,,,,,
slurm-1422140.out:DATA,2,300000000,10,2260.108,16904,604,,,,,
slurm-1422141.out:DATA,2,400000000,1,2916.408,16904,604,,,,,
slurm-1422142.out:DATA,2,400000000,2,2916.827,16904,604,,,,,
slurm-1422143.out:DATA,2,400000000,3,3106.301,16904,604,,,,,
slurm-1422144.out:DATA,2,400000000,4,3104.151,16904,604,,,,,
slurm-1422145.out:DATA,2,400000000,5,3208.653,16904,604,,,,,
slurm-1422146.out:DATA,2,400000000,6,3208.172,16904,604,,,,,
slurm-1422147.out:DATA,2,400000000,7,2976.609,16904,604,,,,,
slurm-1422148.out:DATA,2,400000000,8,3014.026,16904,660,,,,,
slurm-1422149.out:DATA,2,400000000,9,3018.54,16904,604,,,,,
slurm-1422150.out:DATA,2,400000000,10,2891.293,16904,604,,,,,
slurm-1422151.out:DATA,4,100000000,1,386.893,33296,604,398.5932,,,,
slurm-1422152.out:DATA,4,100000000,2,427.49,33296,604,779.1154,,,,
slurm-1422153.out:DATA,4,100000000,3,388.371,33296,604,1179.8223,,,,
slurm-1422154.out:DATA,4,100000000,4,385.281,33296,668,1560.4896,,,,
slurm-1422155.out:DATA,4,100000000,5,423.946,33296,668,,,,,
slurm-1422156.out:DATA,4,100000000,6,383.612,33296,604,,,,,
slurm-1422157.out:DATA,4,100000000,7,386.606,33296,668,,,,,
slurm-1422158.out:DATA,4,100000000,8,387.145,33296,604,,,,,
slurm-1422159.out:DATA,4,100000000,9,388.458,33296,604,,,,,
slurm-1422160.out:DATA,4,100000000,10,428.13,33296,604,,,,,
slurm-1422161.out:DATA,4,200000000,1,766.58,33296,604,,,,,
slurm-1422162.out:DATA,4,200000000,2,774.99,33296,604,,,,,
slurm-1422163.out:DATA,4,200000000,3,819.927,33296,604,,,,,
slurm-1422164.out:DATA,4,200000000,4,772.819,33296,604,,,,,
slurm-1422165.out:DATA,4,200000000,5,775.88,33296,604,,,,,
slurm-1422166.out:DATA,4,200000000,6,775.304,33296,604,,,,,
slurm-1422167.out:DATA,4,200000000,7,776.924,33296,604,,,,,
slurm-1422168.out:DATA,4,200000000,8,775.954,33296,604,,,,,
slurm-1422169.out:DATA,4,200000000,9,777.321,33296,604,,,,,
slurm-1422170.out:DATA,4,200000000,10,775.455,33296,604,,,,,
slurm-1422171.out:DATA,4,300000000,1,1156.155,33296,604,,,,,
slurm-1422172.out:DATA,4,300000000,2,1205.109,33296,604,,,,,
slurm-1422173.out:DATA,4,300000000,3,1165.433,33296,668,,,,,
slurm-1422174.out:DATA,4,300000000,4,1203.656,33296,604,,,,,
slurm-1422175.out:DATA,4,300000000,5,1165.025,33296,604,,,,,
slurm-1422176.out:DATA,4,300000000,6,1203.893,33296,604,,,,,
slurm-1422177.out:DATA,4,300000000,7,1165.675,33296,604,,,,,
slurm-1422178.out:DATA,4,300000000,8,1161.31,33296,604,,,,,
slurm-1422179.out:DATA,4,300000000,9,1165.432,33296,604,,,,,
slurm-1422180.out:DATA,4,300000000,10,1206.535,33296,604,,,,,
slurm-1422181.out:DATA,4,400000000,1,1543.121,33296,604,,,,,
slurm-1422182.out:DATA,4,400000000,2,2143.622,33296,604,,,,,
slurm-1422183.out:DATA,4,400000000,3,1471.389,33296,604,,,,,
slurm-1422184.out:DATA,4,400000000,4,1498.693,33296,604,,,,,
slurm-1422185.out:DATA,4,400000000,5,1459.083,33296,604,,,,,
slurm-1422186.out:DATA,4,400000000,6,1600.479,33296,604,,,,,
slurm-1422187.out:DATA,4,400000000,7,1479.27,33296,604,,,,,
slurm-1422188.out:DATA,4,400000000,8,1460.039,33296,600,,,,,
slurm-1422189.out:DATA,4,400000000,9,1464.575,33296,604,,,,,
slurm-1422190.out:DATA,4,400000000,10,1484.625,33296,604,,,,,
slurm-1422191.out:DATA,8,100000000,1,404.651,66080,604,,,,,
slurm-1422192.out:DATA,8,100000000,2,381.662,66080,604,405.0431,,,,
