slurm-1556317.out:DATA: Trial: 1, Line Count: 1, Node Count: 1000, Process Count: 1, Elapsed Time: 39.844006
slurm-1556318.out:DATA: Trial: 1, Line Count: 2, Node Count: 1000, Process Count: 2, Elapsed Time: 20.289811
slurm-1556319.out:DATA: Trial: 1, Line Count: 2, Node Count: 1000, Process Count: 4, Elapsed Time: 11.497215
slurm-1556320.out:DATA: Trial: 1, Line Count: 2, Node Count: 1000, Process Count: 8, Elapsed Time: 7.631127
slurm-1556321.out:DATA: Trial: 1, Line Count: 4, Node Count: 1000, Process Count: 4, Elapsed Time: 12.629949
slurm-1556322.out:DATA: Trial: 1, Line Count: 4, Node Count: 1000, Process Count: 8, Elapsed Time: 8.314216
slurm-1556323.out:DATA: Trial: 1, Line Count: 4, Node Count: 1000, Process Count: 16, Elapsed Time: 8.079649
slurm-1556324.out:DATA: Trial: 2, Line Count: 1, Node Count: 1000, Process Count: 1, Elapsed Time: 39.668071
slurm-1556325.out:DATA: Trial: 2, Line Count: 2, Node Count: 1000, Process Count: 2, Elapsed Time: 20.234441
slurm-1556326.out:DATA: Trial: 2, Line Count: 2, Node Count: 1000, Process Count: 4, Elapsed Time: 11.395033
slurm-1556327.out:DATA: Trial: 2, Line Count: 2, Node Count: 1000, Process Count: 8, Elapsed Time: 7.514467
slurm-1556328.out:DATA: Trial: 2, Line Count: 4, Node Count: 1000, Process Count: 4, Elapsed Time: 12.672097
slurm-1556329.out:DATA: Trial: 2, Line Count: 4, Node Count: 1000, Process Count: 8, Elapsed Time: 8.288430
slurm-1556330.out:DATA: Trial: 2, Line Count: 4, Node Count: 1000, Process Count: 16, Elapsed Time: 8.293250
slurm-1556332.out:DATA: Trial: 3, Line Count: 2, Node Count: 1000, Process Count: 2, Elapsed Time: 20.485087
slurm-1556333.out:DATA: Trial: 3, Line Count: 2, Node Count: 1000, Process Count: 4, Elapsed Time: 11.574171
slurm-1556334.out:DATA: Trial: 3, Line Count: 2, Node Count: 1000, Process Count: 8, Elapsed Time: 7.907079
slurm-1556335.out:DATA: Trial: 3, Line Count: 4, Node Count: 1000, Process Count: 4, Elapsed Time: 12.745029
slurm-1556336.out:DATA: Trial: 3, Line Count: 4, Node Count: 1000, Process Count: 8, Elapsed Time: 8.351743
slurm-1556337.out:DATA: Trial: 3, Line Count: 4, Node Count: 1000, Process Count: 16, Elapsed Time: 7.937940
slurm-1556338.out:DATA: Trial: 4, Line Count: 1, Node Count: 1000, Process Count: 1, Elapsed Time: 39.626397
slurm-1556339.out:DATA: Trial: 4, Line Count: 2, Node Count: 1000, Process Count: 2, Elapsed Time: 20.073469
slurm-1556340.out:DATA: Trial: 4, Line Count: 2, Node Count: 1000, Process Count: 4, Elapsed Time: 11.622560
slurm-1556341.out:DATA: Trial: 4, Line Count: 2, Node Count: 1000, Process Count: 8, Elapsed Time: 7.421408
slurm-1556342.out:DATA: Trial: 4, Line Count: 4, Node Count: 1000, Process Count: 4, Elapsed Time: 13.698955
slurm-1556343.out:DATA: Trial: 4, Line Count: 4, Node Count: 1000, Process Count: 8, Elapsed Time: 8.483996
slurm-1556344.out:DATA: Trial: 4, Line Count: 4, Node Count: 1000, Process Count: 16, Elapsed Time: 7.437119
slurm-1556345.out:DATA: Trial: 5, Line Count: 1, Node Count: 1000, Process Count: 1, Elapsed Time: 39.632166
slurm-1556346.out:DATA: Trial: 5, Line Count: 2, Node Count: 1000, Process Count: 2, Elapsed Time: 20.113306
slurm-1556347.out:DATA: Trial: 5, Line Count: 2, Node Count: 1000, Process Count: 4, Elapsed Time: 11.520645
slurm-1556348.out:DATA: Trial: 5, Line Count: 2, Node Count: 1000, Process Count: 8, Elapsed Time: 7.786142
slurm-1556349.out:DATA: Trial: 5, Line Count: 4, Node Count: 1000, Process Count: 4, Elapsed Time: 12.502669
slurm-1556350.out:DATA: Trial: 5, Line Count: 4, Node Count: 1000, Process Count: 8, Elapsed Time: 8.521904
slurm-1556351.out:DATA: Trial: 5, Line Count: 4, Node Count: 1000, Process Count: 16, Elapsed Time: 8.579708
slurm-1556352.out:DATA: Trial: 1, Line Count: 1, Node Count: 10000, Process Count: 1, Elapsed Time: 434.380468
slurm-1556353.out:DATA: Trial: 1, Line Count: 2, Node Count: 10000, Process Count: 2, Elapsed Time: 230.127331
slurm-1556354.out:DATA: Trial: 1, Line Count: 2, Node Count: 10000, Process Count: 4, Elapsed Time: 113.627517
slurm-1556355.out:DATA: Trial: 1, Line Count: 2, Node Count: 10000, Process Count: 8, Elapsed Time: 60.973932
slurm-1556356.out:DATA: Trial: 1, Line Count: 4, Node Count: 10000, Process Count: 4, Elapsed Time: 116.337632
slurm-1556357.out:DATA: Trial: 1, Line Count: 4, Node Count: 10000, Process Count: 8, Elapsed Time: 60.374955
slurm-1556358.out:DATA: Trial: 1, Line Count: 4, Node Count: 10000, Process Count: 16, Elapsed Time: 33.609239
slurm-1556360.out:DATA: Trial: 2, Line Count: 2, Node Count: 10000, Process Count: 2, Elapsed Time: 230.216775
